entity
actrapid 100 iu/ml flexpen
basaglar 100 iu/ml kwikpen
actrapid 100 iu/ml flexpen
basaglar 100 iu/ml kwikpen
actrapid 100 iu/ml flexpen
basaglar 100 iu/ml kwikpen
lantus 100iu cartridge 3ml
actrapid 100 iu/ml flexpen
rhyzodeg
actrapid 100 iu/ml flexpen
fiasp 100iu/ml  injection
tresiba 100 units/ml penfill
actrapid 100 iu/ml flexpen
thyroxinol 100 tablet
basaglar 100 iu/ml kwikpen
lantus 100iu cartridge 3ml
actrapid 100 iu/ml flexpen
humalog 100iu cartridge
glargine 100iu/ml injection
apidra 100 iu injection
basaglar 100 units/ml cartridge
basaglar 100 iu/ml kwikpen
apidra 100 iu injection
telmiride 40 tablet
gbay 50mg tablet
thyronorm 12.5 mcg tablet
apidra 100 iu injection
basaglar 100 iu/ml kwikpen
lantus 100iu cartridge 3ml
fiasp 100iu/ml  injection
basaglar 100 iu/ml kwikpen
apidra 100 iu injection
fiasp 100iu/ml  injection



















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































